"stop_id","stop_name","stop_lat","stop_lon"
"bandung_sdn_raya_barat","Sdn Raya Barat",-6.917825,107.590384
"bandung_rajawali_2","Rajawali 2",-6.9162896,107.5886711
"bandung_masjid_saifuddaulah","Masjid Saifuddaulah",-6.9147973,107.6050429
"bandung_telkom_lembong","Telkom Lembong",-6.916694,107.611055
"bandung_katapang","Katapang",-6.9211402,107.6177851
"bandung_hardrock_fm","Hardrock Fm",-6.9297006,107.5372209
"bandung_balai_besar_tekstil","Balai Besar Tekstil",-6.911726,107.63796
"bandung_asep_berlian","Asep Berlian",-6.9090314,107.6427515
"bandung_jalan_jendral_ahmad_yani_909_915","Jalan Jendral Ahmad Yani 909 - 915",-6.901924,107.655059
"bandung_surapati_core","Surapati Core",-6.9018313,107.6525389
"bandung_surapati_4","Surapati 4",-6.8992242,107.6179718
"bandung_dapen_telkom","Dapen Telkom",-6.8698794,107.5897879
"bandung_phh_mustofa_1","Phh. Mustofa 1",-6.897686,107.634681
"bandung_phh_mustofa_2","Phh. Mustofa 2",-6.898023,107.634411
"bandung_sukasenang_raya","Sukasenang Raya",-6.8984891,107.6371382
"bandung_bkkbn","Bkkbn",-6.8983599,107.6284783
"bandung_surapati_1","Surapati 1",-6.8998333,107.6293063
"bandung_surapati_2","Surapati 2",-6.8992534,107.6203409
"bandung_cikapayang_1","Cikapayang 1",-6.899003,107.611824
"bandung_surya_sumantri_1","Surya Sumantri 1",-6.891564,107.581265
"bandung_lemahnendeut","Lemahnendeut",-6.8993375,107.640719
